Empresa;CNPJ;UF;Situacao;Monitorado
AARON INDUSTRIA DE ROTULOS E ETIQUETAS ADESIVAS LTDA;03.884.180/0001-00;CE;Ativa;Sim
AAT DROGARIA E PERFUMARIA LTDA.;25.251.709/0001-90;MG;Ativa;Sim
AB ADMINISTRACAO DE SERVICOS LTDA;80.769.532/0001-27;PR;Ativa;Sim
AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;60.934.551/0004-05;SP;Ativa;Sim
AB COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA;09.455.725/0001-49;CE;Ativa;Sim
AB COMERCIO DE INSUMOS LTDA;81.175.416/0001-42;PR;Ativa;Sim
AB COMERCIO DE VEICULOS LTDA;07.124.577/0001-54;MG;Ativa;Sim
AB CONCESSOES S.A;15.019.317/0001-47;SP;Ativa;Sim
AB INTERCAR COMERCIO DE AUTOMOVEIS LTDA;21.225.706/0001-21;RJ;Ativa;Sim
AB PLAST MANUFATURADOS PLASTICOS LTDA;76.343.748/0001-59;SC;Ativa;Sim
AB PLAST MANUFATURADOS PLASTICOS LTDA;76.343.748/0001-59;SC;Ativa;Sim
AB SCIEX COMERCIO DE INSTRUMENTOS LABORATORIAIS LTDA.;10.537.427/0001-87;SP;Ativa;Sim
ABA COMERCIO DE ALIMENTOS LTDA.;07.342.671/0001-80;PR;Ativa;Sim
ABA MED LTDA;04.369.147/0001-04;GO;Ativa;Sim
ABACO TECNOLOGIA DE INFORMACAO LTDA;37.432.689/0001-33;MT;Ativa;Sim
ABANCA BRASIL REPRESENTACAO LTDA;24.626.438/0001-48;RJ;Ativa;Sim
ABASE COMERCIO E REPRESENTACOES LTDA;63.982.896/0001-71;SP;Ativa;Sim
ABASTECA COMERCIO DE COMBUSTIVEIS LTDA;07.211.715/0001-32;PB;Ativa;Sim
ABASTECEDORA AGNOLIN LTDA;01.595.146/0001-90;RS;Ativa;Sim
ABASTECEDORA DE COMBUSTIVEIS BENTO LTDA;03.223.002/0001-38;RS;Ativa;Sim
ABASTECEDORA DE COMBUSTIVEIS GKS LTDA;94.605.151/0001-17;RS;Ativa;Sim
ABASTECEDORA DE COMBUSTIVEIS PETRODER LTDA;72.044.712/0001-13;RS;Ativa;Sim
