Empresa;CNPJ;UF;Situacao;Monitorado
INNOVAPACK EMBALAGENS LTDA;04.731.867/0001-78;SP;Ativa;Sim
INNOVATTI - INDUSTRIA E COMERCIO DE ESTERES SINTETICOS LTDA.;06.096.144/0001-70;SP;Ativa;Sim
INNPORT COMERCIO E DISTRIBUICAO DE PRODUTOS PARA SAUDE LTDA;18.845.109/0001-95;SP;Ativa;Sim
INOB - INSTITUTO DE OLHOS E MICROCIRURGIA DE BRASILIA LTDA.;00.363.702/0001-30;DF;Ativa;Sim
INOMEDI COMERCIO DE MATERIAL HOSPITALAR LTDA.;09.143.385/0001-10;DF;Ativa;Sim
INORGAN INDUSTRIA QUIMICA LTDA;56.879.838/0001-51;SP;Ativa;Sim
INOVA - MATERIAIS CIRURGICOS E HOSPITALARES LTDA;12.305.398/0001-53;RN;Ativa;Sim
INOVA COMERCIAL E CONSULTORIA LTDA;29.606.061/0001-89;MG;Ativa;Sim
INOVA SAUDE SOROCABA SPE S.A;20.815.868/0001-57;SP;Ativa;Sim
INOVA TS ENGENHARIA LTDA;08.608.026/0001-29;SP;Ativa;Sim
INOVA VEICULOS S/A;25.794.843/0001-38;MG;Ativa;Sim
INOVAMED HOSPITALAR LTDA;12.889.035/0001-02;RS;Ativa;Sim
INOVAMEDICA COMERCIO DE PRODUTOS MEDICOS LTDA;06.170.280/0001-62;MG;Ativa;Sim
INOVAR COMERCIO DE ALIMENTOS LTDA;20.116.651/0001-59;SC;Ativa;Sim
INOVAR ENGENHARIA E GERENCIAMENTO - LTDA;23.084.204/0001-53;MG;Ativa;Sim
INOVARE INSTALACOES ELETRICAS E TELECOMUNICACOES LTDA;14.004.380/0001-47;MT;Ativa;Sim
INOVAT INDUSTRIA FARMACEUTICA LTDA.;27.864.378/0001-90;SP;Ativa;Sim
INOVAÇÃO SERVIÇOS E COMERCIO DE PRODUTOS HOSPITALARES LTDA;30.200.700/0168-;GO;Ativa;Sim
INOVE LINHA HOSPITALAR LTDA;10.779.151/0001-43;BA;Ativa;Sim
INOVE TERCEIRIZACAO DE SERVICOS LTDA;12.778.433/0001-51;PE;Ativa;Sim
INOX DO BRASIL COMERCIO DE ACO LTDA;05.596.061/0001-87;SC;Ativa;Sim
INOX IN COMERCIO, IMPORTACAO E EXPORTACAO DE PRODUTOS SIDERURGICOS LTDA;41.863.128/0001-66;SC;Ativa;Sim
INOX-TECH COMERCIO DE ACOS INOXIDAVEIS LTDA;49.934.250/0013-21;SP;Ativa;Sim
INOXPLASMA COMERCIO DE METAIS LTDA;67.423.111/0001-81;SP;Ativa;Sim
INP INDUSTRIA DE ALIMENTOS LTDA;17.979.609/0001-57;SC;Ativa;Sim
INPASA AGROINDUSTRIAL S/A;29.316.596/0001-15;MT;Ativa;Sim
INPASA BIOENERGIA S/A;27.026.451/0001-54;MT;Ativa;Sim
INPET BRASIL EMBALAGENS PLASTICAS S.A.;06.539.526/0001-20;SP;Ativa;Sim
INPLASUL INDUSTRIA DE PLASTICOS SUDOESTE LTDA;75.635.144/0001-13;PR;Ativa;Sim
INRODA INDUSTRIA DE ROCADEIRAS DESBRAVADOR AVARE LTDA;45.931.904/0001-79;SP;Ativa;Sim
INSERCO BRASIL SERVICOS INDUSTRIAIS LTDA.;11.809.649/0001-74;PR;Ativa;Sim
INSIDE MIND INTELIGENCIA COMPORTAMENTAL LTDA;43.680.742/0001-18;SP;Ativa;Sim
INSIDE SURGICAL COMERCIO VAREJISTA DE MATERIAIS ODONTO MEDICO HOSPITALARES LTDA;15.464.262/0001-84;DF;Ativa;Sim
INSIDER MENTORIAS E TREINAMENTOS LTDA;34.295.555/0001-20;DF;Ativa;Sim
INSTALADORA SAO MARCOS LTDA;88.624.242/0001-05;RS;Ativa;Sim
INSTALADORA SAO MARCOS LTDA;88.624.242/0001-05;RS;Ativa;Sim
INSTITUICAO BAIANA DE ENSINO SUPERIOR LTDA;05.817.107/0001-40;BA;Ativa;Sim
INSTITUICAO CHADDAD DE ENSINO LTDA;02.639.957/0001-08;SP;Ativa;Sim
INSTITUICAO DOM BOSCO DE ENSINO E CULTURA LTDA;72.557.721/0001-08;SP;Ativa;Sim
INSTITUICAO EDUCACIONAL ATIBAIENSE LIMITADA;44.705.705/0001-80;SP;Ativa;Sim
INSTITUICAO EDUCACIONAL ATIBAIENSE LIMITADA;44.705.705/0001-80;SP;Ativa;Sim
INSTITUICAO EDUCACIONAL CECILIA MARIA DE MELO BARCELOS LTDA;03.522.326/0001-77;MG;Ativa;Sim
INSTITUICAO EDUCACIONAL CECILIA MARIA DE MELO BARCELOS LTDA;03.522.326/0001-77;MG;Ativa;Sim
INSTITUICAO ITURAMENSE DE ENSINO SUPERIOR LTDA;00.099.845/0001-86;MG;Ativa;Sim
INSTITUTO AVANCADO DE ENSINO SUPERIOR DE BARREIRAS LTDA;42.752.675/0001-37;BA;Ativa;Sim
INSTITUTO BIOCHIMICO INDUSTRIA FARMACEUTICA LTDA;33.258.401/0001-03;RJ;Ativa;Sim
INSTITUTO BRASILEIRO DE ENSINO, DESENVOLVIMENTO E PESQUISA IDP - LTDA;02.474.172/0001-22;DF;Ativa;Sim
INSTITUTO CACAU SHOW;11.878.898/0001-11;SP;Ativa;Sim
INSTITUTO CAMPINENSE DE ENSINO SUPERIOR LTDA;05.933.016/0001-70;PB;Ativa;Sim
INSTITUTO CPFL;07.234.440/0001-52;N/A;Ativa;Sim
INSTITUTO CULTURAL EDUCACIONAL E PROFISSIONALIZANTE DE PESSOAS COM DEFICIENCIA DO BRASIL - ICEP;03.333.505/0001-66;N/A;Inativa;Sim
INSTITUTO CULTURAL NEWTON PAIVA FERREIRA LTDA;16.521.155/0001-03;MG;Ativa;Sim
INSTITUTO DE ACREDITACAO E GESTAO EM SAUDE LTDA;04.348.099/0001-78;MG;Ativa;Sim
INSTITUTO DE ADMINISTRACAO & GESTAO EDUCACIONAL LTDA;11.010.877/0001-80;MG;Ativa;Sim
INSTITUTO DE ANGIOLOGIA E CARDIOLOGIA DE GOIANIA LTDA;03.007.948/0001-67;GO;Ativa;Sim
INSTITUTO DE DESENVOLVIMENTO TECNOLOGICO E EDUCACIONAL DE PIRACICABA LTDA;07.180.852/0001-57;SP;Ativa;Sim
INSTITUTO DE EDUCACAO INFANTIL REINO DA FANTASIA LTDA;10.300.657/0001-28;SP;Ativa;Sim
INSTITUTO DE EDUCACAO SUPERIOR DO VALE DO PARNAIBA S.A.;13.783.222/0001-70;PI;Ativa;Sim
INSTITUTO DE EDUCACAO, CULTURA E ENSINO SUPERIOR S/A;44.952.711/0001-31;SP;Ativa;Sim
INSTITUTO DE ENSINO E PESQUISA DO PLANALTO CENTRAL LTDA;06.034.951/0001-68;GO;Ativa;Sim
INSTITUTO DE ENSINO SUPERIOR DE INDAIATUBA LTDA;03.791.661/0001-70;SP;Ativa;Sim
INSTITUTO DE ENSINO SUPERIOR DO PIAUI S.A.;21.909.778/0001-98;PI;Ativa;Sim
INSTITUTO DE ENSINO SUPERIOR JUVENCIO TERRA LTDA;63.182.539/0001-29;BA;Ativa;Sim
INSTITUTO DE NEUROLOGIA DE CURITIBA S.A.;00.942.063/0001-67;PR;Ativa;Sim
INSTITUTO DE OLHOS LTDA;40.514.432/0001-35;BA;Ativa;Sim
INSTITUTO DE OLHOS LTDA;40.514.432/0001-35;BA;Ativa;Sim
INSTITUTO DE PESQUISA E ENSINO LTDA;08.580.844/0001-60;MT;Ativa;Sim
INSTITUTO DE PESQUISAS TECNOLOGICAS DO ESTADO DE S.PAULO S/A IPT;60.633.674/0001-55;SP;Ativa;Sim
INSTITUTO DE PREVIDENCIA E ASSISTENCIA ODONTOLOGICA LTDA;00.856.424/0001-52;SP;Ativa;Sim
INSTITUTO DE RADIOLOGIA DE NATAL LTDA;08.419.947/0001-43;RN;Ativa;Sim
INSTITUTO EDUCACIONAL JAGUARY LTDA;03.211.847/0001-03;SP;Ativa;Sim
INSTITUTO EDUCACIONAL SANTA CATARINA LTDA;05.682.453/0001-69;TO;Ativa;Sim
INSTITUTO EDUCACIONAL SANTO AGOSTINHO S.A.;03.735.981/0001-03;MG;Ativa;Sim
INSTITUTO EUVALDO LODI DO DISTRITO FEDERAL;00.366.849/0001-83;DF;Ativa;Sim
INSTITUTO HERMES PARDINI S/A;19.378.769/0001-76;MG;Ativa;Sim
INSTITUTO LEAO SAMPAIO DE ENSINO UNIVERSITARIO LTDA;02.391.959/0001-20;CE;Ativa;Sim
INSTITUTO MANTENEDOR DE ENSINO SUPERIOR DA BAHIA S.A EM RECUPERACAO JUDICIAL;04.670.333/0001-89;BA;Ativa;Sim
INSTITUTO METROPOLITANO DE EDUCACAO E CULTURA LTDA;08.814.347/0001-80;GO;Ativa;Sim
INSTITUTO NOVOS HORIZONTES DE ENSINO SUPERIOR E PESQUISA LTDA.;03.516.376/0001-41;MG;Ativa;Sim
INSTITUTO ODONTOLOGICO DE CEILANDIA LTDA;60.785.152/0001-79;DF;Ativa;Sim
INSTITUTO OMNI VERITAS DE CERTIFICACAO DOCUMENTAL LTDA;62.204.896/0001-88;SP;Ativa;Sim
INSTITUTO PEDAGOGICO DE MINAS GERAIS LTDA;11.371.257/0001-76;MG;Ativa;Sim
INSTITUTO RODOLFO NEIROTTI DE GERENCIAMENTO E PESQUISA LTDA;03.222.051/0001-56;SE;Ativa;Sim
INSTITUTO SUPERIOR EM CIENCIAS DA SAUDE LTDA;19.979.733/0001-48;MG;Ativa;Sim
INSTITUTO VALE DO CRICARE LTDA;01.997.757/0001-64;ES;Ativa;Sim
INSTRUCTURE LICENCIAMENTO DE SOFTWARE LTDA.;23.171.902/0001-96;SP;Ativa;Sim
INSTRUMENTAL CONSULTORIA EMPRESARIAL LTDA;24.910.648/0001-63;DF;Ativa;Sim
INTACTA SISTEMAS DE EMBALAGENS LTDA;08.049.995/0001-97;SP;Ativa;Sim
INTEC TELECOM SYSTEMS DO BRASIL LTDA;04.117.599/0001-07;SP;Ativa;Sim
INTECOM SERVICOS DE LOGISTICA LTDA;03.857.930/0001-54;SP;Ativa;Sim
INTEGRA MEDICAL CONSULTORIA S.A;07.747.906/0001-13;SP;Ativa;Sim
INTEGRA MEDICAL CONSULTORIA S.A;07.747.906/0001-13;SP;Ativa;Sim
INTEGRACAO MARANHENSE TRANSMISSORA DE ENERGIA S.A.;14.871.900/0001-19;RJ;Ativa;Sim
INTEGRACAO TRANSMISSORA DE ENERGIA S/A;07.799.081/0001-80;DF;Ativa;Sim
INTEGRADA COOPERATIVA AGROINDUSTRIAL;00.993.264/0001-93;PR;Ativa;Sim
INTEGRAL SEGURANCA E VIGILANCIA PATRIMONIAL LTDA;33.719.626/0001-01;MT;Ativa;Sim
INTEGRALSAT SISTEMAS DE SEGURANCA LTDA;04.986.708/0001-14;MT;Ativa;Sim
INTEGRASYS COMERCIO E SERVICOS DE INFORMATICA LTDA;01.505.147/0001-04;ES;Ativa;Sim
INTEL SEMICONDUTORES DO BRASIL LTDA.;57.286.247/0001-33;SP;Ativa;Sim
INTELBRAS S.A. INDUSTRIA DE TELECOMUNICACAO ELETRONICA BRASILEIRA;82.901.000/0001-27;SC;Ativa;Sim
INTELIDATA INFORMATICA LTDA;01.212.344/0001-27;SC;Ativa;Sim
INTELIDATA INFORMATICA LTDA;01.212.344/0001-27;SC;Ativa;Sim
INTELIDATA SOFTWARE LTDA.;30.677.170/0001-76;SP;Ativa;Sim
INTELIE SOLUCOES EM INFORMATICA LTDA.;10.454.306/0001-71;RJ;Ativa;Sim
INTELIGENCIA EM PESQUISA E CONSULTORIA LTDA;40.735.589/0001-90;SP;Ativa;Sim
INTELLI INDUSTRIA DE TERMINAIS ELETRICOS LTDA;46.754.545/0001-94;SP;Ativa;Sim
INTELLTECH TECNOLOGIAS INTELIGENTES S.A;24.279.613/0001-78;PR;Ativa;Sim
INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;18.945.670/0001-46;MG;Ativa;Sim
INTER HOSPITALAR LTDA;42.467.308/0001-91;RJ;Ativa;Sim
INTER LINK DO BRASIL INDUSTRIA E COMERCIO DE MOVEIS LTDA;05.559.064/0001-40;SC;Ativa;Sim
INTER MEDICAL EQUIPAMENTOS E SERVICOS LTDA;04.325.831/0001-94;MG;Ativa;Sim
INTER TECH COMERCIO, REPRESENTACOES DE MATERIAL MEDICO HOSPITALAR LTDA;03.200.196/0001-56;N/A;Inativa;Sim
INTER-CONTINENTAL LEAF TABACOS DO BRASIL LTDA.;05.464.178/0001-07;RS;Ativa;Sim
INTER-LIFE SERVICOS E LOCACOES LTDA;07.094.325/0001-20;RJ;Ativa;Sim
INTERATELL INTEGRACOES E TELECOMUNICACOES LTDA;03.969.530/0001-30;SP;Ativa;Sim
INTERATIVA FACILITIES LTDA;05.058.935/0001-42;DF;Ativa;Sim
INTERATIVA NUTRICAO CLINICA LTDA;04.550.922/0001-23;ES;Ativa;Sim
INTERAXA BRASIL TECNOLOGIA E INFORMATICA LTDA;06.928.340/0001-63;SP;Ativa;Sim
INTERBRAND BRASIL LTDA;03.838.168/0001-69;SP;Ativa;Sim
INTERBRASIL ADMINISTRADORA DE BENEFICIOS DE SAUDE LTDA;11.980.614/0001-01;SP;Ativa;Sim
INTERBRILHO HIGIENE E LIMPEZA LTDA;10.440.534/0001-92;SP;Ativa;Sim
INTERCAM CORRETORA DE CAMBIO LIMITADA;34.265.629/0001-85;SP;Ativa;Sim
INTERCARDIO PRODUTOS MEDICOS LTDA;02.726.914/0001-60;MG;Ativa;Sim
INTERCEMENT BRASIL S.A.;62.258.884/0001-36;SP;Ativa;Sim
INTERCONTINENTAL COMERCIO DE VEICULOS S/A;09.191.427/0001-99;SC;Ativa;Sim
INTERCROMA S/A;00.557.713/0001-50;SC;Ativa;Sim
INTERDEAL COMERCIO, IMPORTACAO E EXPORTACAO LTDA.;72.242.910/0001-91;RS;Ativa;Sim
INTERDOTNET DO BRASIL LTDA;03.964.188/0001-86;SP;Ativa;Sim
INTERENG AUTOMACAO INDUSTRIAL LTDA.;65.472.714/0001-48;SP;Ativa;Sim
INTERENG AUTOMACAO INDUSTRIAL LTDA.;65.472.714/0001-48;SP;Ativa;Sim
INTERFACE FLOORING SYSTEMS COMERCIAL LTDA;96.412.820/0001-60;SP;Ativa;Sim
INTERFARMA COMERCIO DE MEDICAMENTOS E SERVICOS LTDA;08.318.170/0001-20;N/A;Inativa;Sim
INTERFOOD IMPORTACAO LTDA;36.357.994/0001-45;SP;Ativa;Sim
INTERFREIGHT TRANSPORTES INTERNACIONAIS LTDA;00.746.905/0001-05;RJ;Ativa;Sim
INTERFRUIT ALIMENTOS LTDA;04.051.054/0001-37;ES;Ativa;Sim
INTERGIS LOGISTICA LTDA;20.336.984/0001-93;CE;Ativa;Sim
INTERLAB FARMACEUTICA LTDA;43.295.831/0001-40;SP;Ativa;Sim
INTERLAGOS VEICULOS LTDA;76.090.315/0001-39;PR;Ativa;Sim
INTERLANDIA LIMITADA;10.782.639/0001-20;PE;Ativa;Sim
INTERLIGACAO ELETRICA DO MADEIRA S/A;10.562.611/0001-87;SP;Ativa;Sim
INTERLIGACAO ELETRICA GARANHUNS S/A;14.432.763/0001-16;PE;Ativa;Sim
INTERLINK TRANSPORTES INTERNACIONAIS LTDA;94.492.899/0001-50;RS;Ativa;Sim
INTERLUB GROUP BRASIL LUBRIFICANTES BIO ORIENTADOS LTDA;05.777.410/0001-67;SP;Ativa;Sim
INTERLUMINAL COMERCIO IMPORTACAO E EXPORTACAO DE PRODUTOS MEDICOS LTDA;04.708.963/0001-03;N/A;Ativa;Sim
INTERMACH PECAS AUTOMOTIVAS LTDA;91.956.755/0001-10;RS;Ativa;Sim
INTERMARCOS ADMINISTRADORA LTDA;57.120.362/0001-33;SP;Ativa;Sim
INTERMARITIMA PORTOS E LOGISTICA S/A;96.825.575/0001-12;BA;Ativa;Sim
INTERMED EQUIPAMENTO MEDICO HOSPITALAR LTDA;49.520.521/0001-69;SP;Ativa;Sim
INTERMEDIC TECHNOLOGY IMPORTACAO E EXPORTACAO LTDA;01.390.500/0001-40;SP;Ativa;Sim
INTERMEDIC TECHNOLOGY IMPORTACAO E EXPORTACAO LTDA;01.390.500/0001-40;SP;Ativa;Sim
INTERMEDICAL COMERCIO DE PRODUTOS MEDICOS LTDA;04.368.356/0001-33;PR;Ativa;Sim
INTERMEDICAL PRODUTOS MEDICOS LTDA;54.974.746/0001-25;SP;Ativa;Sim
INTERMEIOS DISTRIBUIDORA DE INSUMOS FARMACEUTICOS LTDA;07.943.281/0001-65;GO;Ativa;Sim
INTERMEIOS DISTRIBUIDORA DE INSUMOS FARMACEUTICOS LTDA;07.943.281/0001-65;GO;Ativa;Sim
INTERMETRO LOCACOES SERVICOS POAH S.A.;96.736.210/0001-11;RS;Ativa;Sim
INTERMODAL BRASIL LOGISTICA S.A.;03.558.055/0001-00;SP;Ativa;Sim
INTERNACIONAL COMISSARIA DE DESPACHOS ADUANEIROS LTDA;22.141.204/0001-85;MG;Ativa;Sim
INTERNACIONAL FIBER DO BRASIL INDUSTRIA E COMERCIO DE FIBRAS LTDA;09.566.851/0001-70;SP;Ativa;Sim
INTERNACIONAL FIBER DO BRASIL INDUSTRIA E COMERCIO DE FIBRAS LTDA;09.566.851/0001-70;SP;Ativa;Sim
INTERNACIONAL LABORATORIOS NUTRACEUTICOS LTDA;40.483.466/0001-00;SP;Ativa;Sim
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;17.314.329/0001-20;SP;Ativa;Sim
INTERNATIONAL PARTS SERVICE DO BRASIL LTDA;13.180.109/0001-08;PR;Ativa;Sim
INTERNATIONAL SCHOOL CENTRO DE EDUCACAO LTDA.;62.380.365/0001-46;SP;Ativa;Sim
INTERNATIONAL SCHOOL SERVICOS DE ENSINO, TREINAMENTO E EDITORACAO FRANQUEADORA S.A.;18.082.788/0001-98;SP;Ativa;Sim
INTERNATIONAL SKIN SOLUTIONS DERMO COSM LTDA;37.380.058/0001-18;SP;Ativa;Sim
INTERNEXA BRASIL OPERADORA DE TELECOMUNICACOES S.A.;11.620.561/0001-00;SP;Ativa;Sim
INTERO INTEGRITY SERVICES BRASIL LTDA;07.359.908/0001-35;SP;Ativa;Sim
INTEROP INFORMATICA LTDA;86.703.337/0001-80;RS;Ativa;Sim
INTEROP INFORMATICA LTDA;86.703.337/0001-80;RS;Ativa;Sim
INTERPLAN PARTICIPACOES E GESTAO DE BENS PROPRIOS LTDA.;07.029.368/0001-21;SP;Ativa;Sim
INTERPRINT DO BRASIL INDUSTRIA DE PAPEIS DECORATIVOS LTDA.;14.119.602/0001-77;PR;Ativa;Sim
INTERPRINT LTDA;42.123.091/0001-00;SP;Ativa;Sim
INTERPRISE INSTRUMENTOS ANALITICOS LTDA;72.949.449/0001-01;SP;Ativa;Sim
INTERPUMP HYDRAULICS BRASIL - INDUSTRIA E COMERCIO DE COMPONENTES HIDRAULICOS LTDA;91.233.635/0001-94;RS;Ativa;Sim
INTERQUIMICA-COMERCIO E INDUSTRIA DE PRODUTOS QUIM LTDA;90.629.601/0001-50;RS;Ativa;Sim
INTERSEPT SEGURANCA LTDA;08.282.615/0001-60;PR;Ativa;Sim
INTERSEPT TERCEIRIZACAO DE SERVICOS LTDA;03.360.551/0001-54;PR;Ativa;Sim
INTERSHOES NEGOCIOS INTERNACIONAIS LTDA;05.277.471/0001-65;SP;Ativa;Sim
INTERSOLO ENGENHARIA LTDA;19.401.306/0001-88;MG;Ativa;Sim
INTERSOLO ENGENHARIA LTDA;19.401.306/0001-88;MG;Ativa;Sim
INTERSUL DISTRIBUIDORA DE PRODUTOS VETERINARIOS LTDA.;07.536.553/0001-02;RS;Ativa;Sim
INTERSYSTEMS DO BRASIL LTDA;00.233.883/0001-80;SP;Ativa;Sim
INTERTECHNE CONSULTORES S. A.;80.378.052/0001-35;PR;Ativa;Sim
INTERTEK DO BRASIL INSPECOES LTDA.;42.565.697/0001-98;SP;Ativa;Sim
INTERTRIM LTDA;01.105.075/0001-08;SP;Ativa;Sim
INTERUNION COMERCIO INTERNACIONAL LTDA;57.663.932/0001-31;SP;Ativa;Sim
INTERVALOR PROMOCAO DE VENDAS LTDA.;18.749.161/0001-48;SP;Ativa;Sim
INTERVEN COMERCIO DE PRODUTOS MEDICOS LTDA;10.905.312/0001-06;AM;Ativa;Sim
INTERVIA VEICULOS S.A.;08.315.588/0001-84;PE;Ativa;Sim
INTERVISION SISTEMAS DE PREVENCAO DE PERDAS LTDA;04.844.096/0001-25;MT;Ativa;Sim
INTERVITHOSPITALES COMERCIO DE MATERIAIS MEDICO CIRURGICO E HOSPITALARES LTDA;07.897.656/0001-06;ES;Ativa;Sim
INTESA SANPAOLO BRASIL S.A. - BANCO MULTIPLO;55.230.916/0001-20;SP;Ativa;Sim
INTOLOGY DISTRIBUIDORA DE MEDICAMENTOS E PRODUTOS PARA A SAUDE LTDA;22.843.109/0001-23;SP;Ativa;Sim
INTRACK - COMERCIO, IMPORTACAO E EXPORTACAO DE EQUIPAMENTOS ELETRONICOS LTDA;08.107.093/0001-60;PR;Ativa;Sim
INTRAFRUT INDUSTRIA TRANSFORMADORA DE FRUTOS S/A;08.972.622/0001-93;PB;Ativa;Sim
INTRAG DISTR DE TITULOS EVALORES MOBILIARIOS LTDA;62.418.140/0001-31;SP;Ativa;Sim
INTRALOG SERVICOS DE LOGISTICA LTDA;26.253.475/0001-83;RS;Ativa;Sim
INTUIT IMPORTACAO E COMERCIO DE MATERIAIS CIRURGICOS E HOSPITALARES LTDA;05.699.386/0001-95;CE;Ativa;Sim
INTUS PRODUTOS MEDICOS LTDA;20.986.153/0001-67;SC;Ativa;Sim
INVASIVE IMPORTACAO E COMERCIO DE PRODUTOS MEDICOS LTDA;02.555.905/0001-53;PR;Ativa;Sim
INVENTUS POWER ELETRONICA DO BRASIL LTDA;00.399.541/0001-34;AM;Ativa;Sim
INVEST CORRETORA DE CAMBIO LTDA;17.508.380/0001-72;RS;Ativa;Sim
INVESTIMENTOS E PARTICIPACOES INPASA S/A;82.640.616/0001-91;SC;Ativa;Sim
INVICTA INDUSTRIA E COMERCIO LTDA;17.348.862/0001-02;SC;Ativa;Sim
INVILLIA - DESENVOLVIMENTO DE PRODUTOS DIGITAIS LTDA.;04.654.734/0001-45;SP;Ativa;Sim
INVILLIA HOLDING S.A.;37.111.377/0001-28;SP;Ativa;Sim
INVIOLAVEL SEGURANCA 24 HORAS LTDA.;95.832.986/0001-72;SC;Ativa;Sim
INVIOLAVEL SEGURANCA 24 HORAS LTDA.;95.832.986/0001-72;SC;Ativa;Sim
INVIOSEG SEGURANCA PRIVADA LTDA.;06.145.774/0001-97;MT;Ativa;Sim
INVOLVES SOLUCOES TECNOLOGICAS S/A;10.903.643/0001-07;SC;Ativa;Sim
IOB INFORMACOES OBJETIVAS PUBLICACOES JURIDICAS LTDA;43.217.850/0001-59;SP;Ativa;Sim
IOC - INSTITUTO DE ONCOLOGIA CLINICA SOCIEDADE SIMPLES LTDA;61.709.481/0001-01;SP;Ativa;Sim
IOCHPE-MAXION S.A.;61.156.113/0001-75;SP;Ativa;Sim
IOS INFORMATICA, ORGANIZACAO E SISTEMAS LTDA;38.056.404/0001-70;DF;Ativa;Sim
IP SAO PAULO - SISTEMAS DE GESTAO EMPRESARIAL LTDA;10.700.815/0001-37;SP;Ativa;Sim
IP UNITY GLENAYRE SISTEMAS DE TELECOMUNICACOES LTDA;00.711.489/0001-00;SP;Ativa;Sim
IPACKCHEM DO BRASIL EMBALAGENS LTDA;21.130.159/0001-09;SP;Ativa;Sim
IPACOL MAQUINAS AGRICOLAS LTDA;05.825.524/0001-35;RS;Ativa;Sim
IPACOL MAQUINAS AGRICOLAS LTDA;05.825.524/0001-35;RS;Ativa;Sim
IPADE - INSTITUTO PARA O DESENVOLVIMENTO DA EDUCACAO LTDA.;04.102.843/0001-50;CE;Ativa;Sim
IPANEMA COMERCIO E SERVICOS DE DERIVADOS DE PETROLEO LTDA;17.858.105/0001-89;CE;Ativa;Sim
IPC - INDUSTRIA PARANAENSE DE COSMETICOS LTDA;03.149.136/0001-56;PR;Ativa;Sim
IPC BRASIL - IMPORTADORA DE PRODUTOS CERTIFICADOS LTDA;09.520.471/0001-03;SC;Ativa;Sim
IPE COMERCIO DE COMBUSTIVEIS LTDA;27.476.014/0001-32;MG;Ativa;Sim
IPE EDUCACIONAL LTDA;08.679.557/0001-02;PB;Ativa;Sim
IPE MEDICAL LTDA;11.232.839/0001-71;GO;Ativa;Sim
IPE VEICULOS LIMITADA;02.474.948/0001-04;GO;Ativa;Sim
IPEC INSTITUTO PARAENSE DE EDUCACAO E CULTURA LTDA;07.962.437/0001-55;PA;Ativa;Sim
IPEL-ITIBANYL PRODUTOS ESPECIAIS LTDA.;59.743.773/0001-00;SP;Ativa;Sim
IPES INDUSTRIA DE PRODUTOS E EQUIPAMENTOS DE SOLDA LTDA;04.613.444/0001-53;AM;Ativa;Sim
IPIRANGA AGROINDUSTRIAL S.A.;07.280.328/0001-58;SP;Ativa;Sim
IPIRANGA LOGISTICA LTDA;08.017.542/0001-89;RJ;Ativa;Sim
IPIRANGA PRODUTOS DE PETROLEO S.A.;33.337.122/0001-27;RJ;Ativa;Sim
IPIRANGA RECICLAGEM DE METAIS LTDA;02.498.705/0001-06;GO;Ativa;Sim
IPLASA INDUSTRIA DE PLASTICOS SALVADOR LTDA;14.399.448/0001-34;BA;Ativa;Sim
IPLASNOR INDUSTRIA E COM DE PLASTICOS DO NORDESTE LTDA;00.632.064/0001-05;BA;Ativa;Sim
IPM - INDUSTRIA DE PRODUTOS METALURGICOS LTDA;06.905.487/0001-38;PE;Ativa;Sim
IPNET SERVICOS EM NUVEM E DESENVOLVIMENTO DE SISTEMAS LTDA;32.578.382/0001-21;RJ;Ativa;Sim
IPOG - INSTITUTO DE POS-GRADUACAO & GRADUACAO LTDA;04.688.977/0001-02;GO;Ativa;Sim
IPS - SERVICOS DE PROJETOS INTEGRADOS LTDA.;17.135.215/0001-12;SP;Ativa;Sim
IPSIS GRAFICA E EDITORA SA;61.407.078/0001-10;SP;Ativa;Sim
IPTAN - INSTITUTO DE ENSINO SUPERIOR PRESIDENTE TANCREDO DE ALMEIDA NEVES S.A.;03.219.494/0001-98;MG;Ativa;Sim
IPX PRODUTOS MEDICOS E HOSPITALARES LTDA;38.462.895/0001-59;PI;Ativa;Sim
IQVIA RDS BRASIL LTDA.;02.529.870/0001-88;SP;Ativa;Sim
IQVIA SOLUTIONS DO BRASIL LTDA.;62.398.938/0001-69;SP;Ativa;Sim
IRACEMA EMPREENDIMENTOS TURISTICOS LTDA;01.435.103/0001-47;CE;Ativa;Sim
IRACEMA TRANSMISSORA DE ENERGIA S. A.;09.250.729/0001-90;RJ;Ativa;Sim
IRANI PAPEL E EMBALAGEM S.A.;92.791.243/0001-03;RS;Ativa;Sim
IRB ASSET MANAGEMENT S.A.;29.325.262/0001-08;RJ;Ativa;Sim
IRCE INDUSTRIA DE CONDUTORES ELETRICOS LTDA;07.384.404/0001-75;SC;Ativa;Sim
IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.;02.608.755/0001-07;SP;Ativa;Sim
IRIS COMERCIO E SERVICOS DE EQUIPAMENTOS MEDICOS LTDA;31.197.049/0001-00;RJ;Ativa;Sim
IRIZAR BRASIL LTDA.;02.301.582/0001-71;SP;Ativa;Sim
IRMANDADE DA SANTA CASA DE MISERICORDIA DE SAO CARLOS;59.610.394/0001-42;SP;Ativa;Sim
IRMAOS ALMEIDA COMERCIO DE RELOGIOS DE PONTO LTDA;13.569.046/0001-78;DF;Ativa;Sim
IRMAOS AMALCABURIO LTDA;88.623.996/0001-32;RS;Ativa;Sim
